column_name,dictionary_match,source_table,description,type,units,modality,missing_rate,non_missing_count,unique_count,available_in_d3,suspected_label,suspected_leakage,duplicated_measurement_family,recommended_use,exclusion_reason
FRONTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the frontal lobe. Fail affects the following regions: LeftFrontalPole (ST25); RightFron,T,,administrative,0.770034,2930,2,False,False,True,FRONTQC,exclude_administrative,Administrative or data-construction field.
PARQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the parietal lobe. Fail affects the following regions: LeftPostcentral (ST49); RightPos,T,,administrative,0.770034,2930,2,False,False,True,PARQC,exclude_administrative,Administrative or data-construction field.
INSULAQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the insula. Fail affects the following regions: LeftInsula (ST129); RightInsula (ST130),T,,administrative,0.770034,2930,2,False,False,True,INSULAQC,exclude_administrative,Administrative or data-construction field.
OCCQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the occipital lobe. Fail affects the following regions: LeftLingual (ST38); RightLingua,T,,administrative,0.770034,2930,2,False,False,True,OCCQC,exclude_administrative,Administrative or data-construction field.
BGQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the basal ganglia. Fail affects the following regions: LeftPutamen (ST53); RightPutamen,T,,administrative,0.770034,2930,2,False,False,True,BGQC,exclude_administrative,Administrative or data-construction field.
CWMQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the cerebral WM. Fail affects the following regions: LeftCerebralWM (ST20); RightCerebr,T,,administrative,0.770034,2930,2,False,False,True,CWMQC,exclude_administrative,Administrative or data-construction field.
VENTQC_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,QC rating of the ventricles. Fail affects the following regions: LeftLateralVentricle (ST37); RightL,T,,administrative,0.770034,2930,2,False,False,True,VENTQC,exclude_administrative,Administrative or data-construction field.
ST100SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (WM Parcellation) of RightNonWMHypoIntensities,N,mm3,mri_structural,1.0,0,0,False,False,False,ST100SV,exclude_high_missing,Availability is below the configured feature threshold.
ST101SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (WM Parcellation) of RightPallidum,N,mm3,mri_structural,0.659289,4341,1047,False,False,False,ST101SV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST102CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (Cortical Parcellation) of RightParacentral,N,mm3,mri_structural,0.659289,4341,1884,False,False,False,ST102CV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST102SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Surface Area of RightParacentral,N,mm2,mri_structural,0.659289,4341,962,False,False,False,ST102SA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST102TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Average of RightParacentral,N,mm,mri_structural,0.659289,4341,1009,False,False,False,ST102TA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST102TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Standard Deviation of RightParacentral,N,mm,mri_structural,0.659289,4341,370,False,False,False,ST102TS,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST103CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (Cortical Parcellation) of RightParahippocampal,N,mm3,mri_structural,0.659289,4341,1365,False,False,False,ST103CV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST103SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Surface Area of RightParahippocampal,N,mm2,mri_structural,0.659289,4341,466,False,False,False,ST103SA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST103TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Average of RightParahippocampal,N,mm,mri_structural,0.659289,4341,1403,False,False,False,ST103TA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST103TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Standard Deviation of RightParahippocampal,N,mm,mri_structural,0.659289,4341,604,False,False,False,ST103TS,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST104CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (Cortical Parcellation) of RightParsOpercularis,N,mm3,mri_structural,0.659289,4341,2034,False,False,False,ST104CV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST104SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Surface Area of RightParsOpercularis,N,mm2,mri_structural,0.659289,4341,1008,False,False,False,ST104SA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST104TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Average of RightParsOpercularis,N,mm,mri_structural,0.659289,4341,920,False,False,False,ST104TA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST104TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Standard Deviation of RightParsOpercularis,N,mm,mri_structural,0.659289,4341,370,False,False,False,ST104TS,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST105CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Volume (Cortical Parcellation) of RightParsOrbitalis,N,mm3,mri_structural,0.659289,4341,1442,False,False,False,ST105CV,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST105SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Surface Area of RightParsOrbitalis,N,mm2,mri_structural,0.659289,4341,594,False,False,False,ST105SA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16,True,UCSFFSL,Cortical Thickness Average of RightParsOrbitalis,N,mm,mri_structural,0.659289,4341,1050,False,False,False,ST105TA,exclude_duplicate,A better-covered representative from the same measurement family was retained.
