"column_name","modality","missing_rate","non_missing_count","recommended_use"
"ST105TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST105TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST106CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST106SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST106TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST106TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST107CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST107SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST107TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST107TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST108CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST108SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST108TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST108TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST109CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST109SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST109TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST109TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST10CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST110CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST110SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST110TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST110TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST111CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST111SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST111TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST111TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST112SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST113CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST113SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST113TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST113TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST114CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST114SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST114TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST114TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST115CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST115SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST115TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST115TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST116CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST116SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST116TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST116TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST117CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST117SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST117TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST117TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST118CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST118SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST118TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST118TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST119CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST119SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST119TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST119TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST11SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST120SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST121CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST121SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST121TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST121TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST122SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST123CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST123SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST123TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST123TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST124SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST125SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.661722","4310","exclude_duplicate"
"ST126SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST127SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST128SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST129CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST129SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST129TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST129TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST12SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST130CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST130SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST130TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST130TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST13CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST13SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST13TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST13TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST14CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST14SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST14TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST14TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST15CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST15SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST15TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST15TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST16SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST17SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST18SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST19SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST1SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST20SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST21SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST22CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST22SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST22TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST22TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST23CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST23SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST23TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST23TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST24CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST24SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST24TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST24TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST25CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST25SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST25TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST25TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST26CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST26SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST26TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST26TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST27SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.801899","2524","exclude_high_missing"
"ST28CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
"ST29SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST2SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST30SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST31CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST31SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST31TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST31TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST32CV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST32SA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST32TA_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST32TS_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","0.659289","4341","exclude_duplicate"
"ST33SV_UCSFFSL_02_01_16_UCSFFSL51ALL_08_01_16","mri_structural","1.0","0","exclude_high_missing"
